"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_gamma_H","mu_gamma_H_2","p_G_D","p_G_D_2","p_H","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_H_alpha","rel_p_ICU_alpha","rho_pillar2_tests","seed_date_alpha","start_date","ta_alpha"
NA,"alpha_admission",2.1059041245314e-06,-1.98675563269654e-06,-1.92128070539387e-08,-1.84675082257718e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.96194603014959e-08,-3.19328573990491e-07,-3.52500558831159e-07,-2.69389842424114e-06,-1.54673893462773e-07,6.17613320962774e-07,9.66968887591041e-07,-1.79220304668681e-07,1.97541889792491e-07,3.09520137369678e-07,-4.28315396835315e-07,-3.08342873805165e-08,-6.99111551331409e-07,-1.50101877888899e-09,3.47730202744393e-09,-9.27563146761456e-09,-9.51835875913593e-10,-5.69195156340409e-10,-1.71849912454922e-09,-5.06591684983454e-09,1.25086724892171e-09,-8.3508949195247e-10,3.51727934981181e-09,-2.75037845698588e-07,2.22262814537183e-06,-1.46248060850559e-06,2.77517426397393e-06,2.09070549376138e-09,0,0,9.36335820211184e-08
NA,"alpha_D",-1.98675563269654e-06,0.000224445014629616,9.9317097650874e-07,7.74579268553486e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84629571464742e-06,5.77681369158963e-06,2.2184484768806e-05,1.65300904379035e-05,-1.50874135459447e-05,6.15477081163669e-06,-1.98806271298188e-05,5.20303124749231e-06,1.22670050419336e-08,-8.58224936703625e-06,-2.04339584779063e-07,-5.0359517858935e-07,2.78166669996018e-07,2.84796615744842e-09,1.17816732813198e-08,9.6061506635649e-09,-3.52777456583838e-09,-4.59953810911696e-08,-3.7739974236011e-09,1.6335307842205e-08,-8.12954940211343e-09,1.03622225142059e-08,8.23688379427613e-08,5.15352237325615e-06,-5.89571219771808e-05,-1.30219064357197e-06,2.43329649356663e-05,6.43675984281507e-08,0,0,-6.11943842046091e-08
NA,"alpha_death_hosp",-1.92128070539387e-08,9.9317097650874e-07,3.49729615047766e-06,-2.74158106631524e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.42211349235444e-07,-1.5707913439931e-06,-2.22239434558491e-06,-2.49097261097794e-06,1.08037328805019e-06,1.07608355181312e-06,1.03451916814636e-07,-4.92207199309816e-07,4.38724931505104e-07,1.29083153730599e-06,-1.47186795670272e-07,1.76604284339315e-08,-5.78199640615062e-07,-3.10590658492105e-09,-1.0805201084342e-08,-1.89922884991596e-10,-1.33606283258019e-09,-1.02900755610174e-08,-1.9028143569605e-09,-2.58781892291734e-09,3.74472252375477e-09,-4.09007304348166e-09,-2.53694495192888e-10,4.9549655054872e-07,6.71159289305715e-06,-2.67586109873332e-06,1.62504610802501e-06,8.74260951931508e-10,0,0,1.20252184676152e-07
NA,"alpha_H",-1.84675082257718e-07,7.74579268553486e-07,-2.74158106631524e-07,2.77546246116075e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.45471323439399e-07,-4.00186424328905e-07,1.00449034912911e-06,-4.7818007202118e-06,-4.2208183014124e-06,1.79121947568166e-06,1.77659071879957e-07,1.75347220618384e-07,-4.77803279478176e-07,-3.98083004829937e-08,8.58023557609965e-08,-1.66409956005776e-08,1.63253319835888e-06,4.87691023307449e-09,2.58377897529974e-09,3.15537102943643e-09,1.494623346192e-10,9.03573944606918e-09,1.36406757244583e-09,4.28470889702328e-09,1.17928172367096e-09,1.46368065738836e-09,6.90669545767677e-10,2.76709850164285e-06,-2.2150856519342e-06,1.04451080159094e-06,-5.69592947257809e-07,-2.40838422935167e-09,0,0,-4.46528332545133e-08
NA,"mu_D",-3.96194603014959e-08,6.84629571464742e-06,-4.42211349235444e-07,-1.45471323439399e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53232438187619e-05,1.37878151313684e-05,2.00346509007743e-05,-1.01304776533435e-05,-7.29972620334154e-06,1.46744201276992e-07,-4.0306911107912e-06,1.30596342728381e-06,-1.30626132220819e-06,-2.9987910830005e-05,-1.03317519605227e-06,1.57715537318467e-06,1.01277231114781e-06,-7.5345382999642e-10,1.53391059544836e-09,8.81941388062653e-09,6.71701648938143e-09,-2.82274254115365e-08,-1.12896151704656e-08,6.00944321551304e-09,4.05363349379969e-09,-2.29949057697111e-09,1.56612070873509e-08,1.59030386417049e-05,-1.42498786903132e-05,1.20034466839027e-06,-9.85546411401031e-06,3.95266040663219e-08,0,0,7.11309985561347e-07
NA,"mu_D_2",-3.19328573990491e-07,5.77681369158963e-06,-1.5707913439931e-06,-4.00186424328905e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.37878151313684e-05,4.87217851681287e-05,3.43854344297906e-05,3.87933168415387e-05,3.31535662219135e-05,-1.77502355006606e-05,-9.50742702419077e-06,7.20549762187572e-06,-1.23664203749683e-06,-3.48102099776752e-05,-1.77886884913554e-06,7.56377773852954e-07,4.84198184085554e-06,-5.1877100541658e-09,-2.9949356325932e-09,6.0403121026341e-09,-1.85549755082488e-09,-3.4528995222127e-08,-1.08187150212447e-08,-1.47668325120025e-08,-1.70325318614812e-08,-8.96051312908073e-09,1.74223724857805e-08,1.44718007716832e-06,-8.38713440731823e-05,5.25103404975413e-06,-2.43635229579998e-06,3.22739573392609e-08,0,0,-1.77797341170437e-07
NA,"mu_D_3",-3.52500558831159e-07,2.2184484768806e-05,-2.22239434558491e-06,1.00449034912911e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00346509007743e-05,3.43854344297906e-05,0.000174220692178596,-0.000162528350202577,-9.31593271262681e-05,5.34982335889059e-05,-1.15662788825972e-05,2.47779793175413e-05,1.72096669181326e-06,-3.42544965766647e-05,-4.40535486031724e-06,6.36915385531626e-07,-3.38470908271026e-06,-1.90689404567367e-08,7.93645394500567e-08,1.7084157560879e-09,8.6162723754794e-09,-1.58794645212457e-08,-1.60916946913115e-08,-6.88150369669443e-09,-1.64585875267056e-08,-1.07771944252674e-09,3.17375917126818e-08,-2.16928834404269e-05,-0.000336811038805893,-4.88412070394153e-06,-4.53804598057526e-06,1.24785666315575e-07,0,0,4.21276786382977e-07
NA,"mu_D_4",-2.69389842424114e-06,1.65300904379035e-05,-2.49097261097794e-06,-4.7818007202118e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01304776533435e-05,3.87933168415387e-05,-0.000162528350202577,0.00200384132383837,0.000131173839428245,-0.000336941117016055,-1.70236486663268e-05,-6.35050102497956e-06,-1.62445158102201e-05,-4.77557369600925e-06,4.00175035191553e-06,-3.42639687630284e-06,-2.6202746633999e-05,6.56656514035167e-08,-8.25501275240763e-08,1.12661219678154e-07,4.22695291426971e-08,1.22584217015155e-07,1.31498710909269e-07,-2.49427218042949e-08,7.35215070944034e-08,-5.49051014271255e-08,-9.65395456302892e-08,-7.37065618640849e-05,8.10720904199116e-05,8.27752918390151e-05,-9.00017825352366e-06,1.71959023317168e-07,0,0,2.91546371479303e-06
NA,"mu_gamma_H",-1.54673893462773e-07,-1.50874135459447e-05,1.08037328805019e-06,-4.2208183014124e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.29972620334154e-06,3.31535662219135e-05,-9.31593271262681e-05,0.000131173839428245,0.00033250751417854,-0.000170779837283768,7.02174790125242e-07,-7.74011469986848e-06,7.80038136451654e-07,-8.35791687216848e-06,-6.02653194566206e-07,-7.41211788976311e-08,1.53506027081439e-05,-3.17634791905351e-08,-8.24692562301615e-08,-6.66875782439211e-08,-6.62060196083912e-09,-7.78882337099651e-08,-6.71449310177791e-09,-5.28670997026631e-08,2.9597530907902e-09,-3.21218616688716e-08,-3.70671107696734e-08,-2.17865068696781e-05,0.000156353700623217,-1.0411650540383e-05,3.15448927149029e-05,-5.18525769023171e-08,0,0,-1.10964897874037e-06
NA,"mu_gamma_H_2",6.17613320962774e-07,6.15477081163669e-06,1.07608355181312e-06,1.79121947568166e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.46744201276992e-07,-1.77502355006606e-05,5.34982335889059e-05,-0.000336941117016055,-0.000170779837283768,0.00034265464313447,1.55425981610228e-07,2.23661747260302e-06,5.82307575333349e-06,5.29387226562179e-06,4.32843744045307e-07,-1.37314711462252e-07,1.33530140497802e-05,1.21653483443822e-08,-6.66499493305802e-09,-2.90290759939787e-09,-9.13994416211255e-09,-1.26081368610886e-07,-2.18570742427923e-08,-2.57177143562839e-08,-3.60807636600296e-08,2.02785144606177e-08,3.73787483651303e-08,1.72597409910266e-05,-4.10730130903562e-05,-3.86617008336552e-05,1.44928570443813e-05,7.71269088541464e-10,0,0,-1.74891569891854e-06
