"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_gamma_H","mu_gamma_H_2","p_G_D","p_G_D_2","p_H","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_H_alpha","rel_p_ICU_alpha","rho_pillar2_tests","seed_date_alpha","start_date","ta_alpha"
NA,"p_G_D",9.66968887591041e-07,-1.98806271298188e-05,1.03451916814636e-07,1.77659071879957e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.0306911107912e-06,-9.50742702419077e-06,-1.15662788825972e-05,-1.70236486663268e-05,7.02174790125242e-07,1.55425981610228e-07,1.42937426185332e-05,-2.20433199906854e-06,1.50119704970308e-06,1.22057695297123e-05,-2.06665259648267e-07,-4.09142644655825e-07,-4.50388148854228e-06,-1.43214432916047e-08,-1.25804985607586e-08,-1.88707363181992e-08,-6.93115230674357e-09,1.41541535230098e-09,-8.63836856436546e-09,-1.10294830272831e-08,-6.0336907277111e-09,1.70351497759161e-09,-6.26477420489257e-09,-2.77922277885456e-06,2.05105024608061e-05,-3.26866627867734e-06,2.19735964262376e-06,-1.85633404055377e-08,0,0,-1.62559282300727e-07
NA,"p_G_D_2",-1.79220304668681e-07,5.20303124749231e-06,-4.92207199309816e-07,1.75347220618384e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30596342728381e-06,7.20549762187572e-06,2.47779793175413e-05,-6.35050102497956e-06,-7.74011469986848e-06,2.23661747260302e-06,-2.20433199906854e-06,7.25343782147739e-06,8.31046872341286e-08,-9.86747859544998e-07,5.07937887194651e-09,1.00512159165625e-07,-6.9671981496785e-07,6.89341653614314e-09,2.0938541168964e-08,1.01713123214845e-08,2.10307146105909e-09,1.17927352114043e-09,1.22548959860869e-09,-3.37228885969382e-09,2.17583030374637e-10,-8.1007081771041e-10,1.35530999935628e-08,-6.49042572051163e-06,-6.33341497341039e-05,-1.47265678993648e-06,-7.78049792974501e-07,1.70018565807443e-08,0,0,1.69408560800763e-07
NA,"p_H",1.97541889792491e-07,1.22670050419336e-08,4.38724931505104e-07,-4.77803279478176e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.30626132220819e-06,-1.23664203749683e-06,1.72096669181326e-06,-1.62445158102201e-05,7.80038136451654e-07,5.82307575333349e-06,1.50119704970308e-06,8.31046872341286e-08,9.17962941619095e-06,-1.28731054993498e-06,-3.60490385265663e-07,-9.03949599109197e-07,-3.56146270013731e-06,-1.92371685464383e-08,-3.15372597602583e-08,-2.99272133721839e-08,-1.71992724872324e-08,-4.64497726499892e-08,-2.17592418353683e-08,-2.30711071625491e-08,-1.19878624945627e-08,-1.46782918254887e-08,-9.52016092809383e-09,-3.0995805355179e-06,4.16180077743837e-06,-2.64782894284749e-05,1.53621509129198e-05,4.17812048922208e-09,0,0,-5.07421709332889e-07
NA,"p_H_D",3.09520137369678e-07,-8.58224936703625e-06,1.29083153730599e-06,-3.98083004829937e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.9987910830005e-05,-3.48102099776752e-05,-3.42544965766647e-05,-4.77557369600925e-06,-8.35791687216848e-06,5.29387226562179e-06,1.22057695297123e-05,-9.86747859544998e-07,-1.28731054993498e-06,6.41164907178983e-05,3.35965701221916e-06,-1.4408841732632e-06,-1.94891486065128e-05,-1.47793079891702e-08,-1.05060047518504e-09,-9.12029889648819e-09,5.05709359402677e-10,2.18081377501114e-08,1.46231000970626e-08,-1.35768930348502e-08,3.34412225521096e-09,-6.98506136457516e-09,-1.14305527437052e-08,-3.74470059001833e-05,1.70311407953195e-05,6.81997877505149e-06,1.19003800394113e-05,-6.47489603503553e-08,0,0,-4.31926950258511e-08
NA,"p_ICU",-4.28315396835315e-07,-2.04339584779063e-07,-1.47186795670272e-07,8.58023557609965e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.03317519605227e-06,-1.77886884913554e-06,-4.40535486031724e-06,4.00175035191553e-06,-6.02653194566206e-07,4.32843744045307e-07,-2.06665259648267e-07,5.07937887194651e-09,-3.60490385265663e-07,3.35965701221916e-06,1.46915407906988e-05,-2.79770462891832e-07,3.44423842727377e-06,7.38179329654248e-09,1.75774772686134e-08,1.26643498728192e-08,1.46149977310351e-09,-2.32136958467259e-09,8.26867729690972e-09,1.06923941727229e-08,-2.2250144153771e-09,1.3669935159623e-09,5.62156389813929e-09,3.04973012380479e-05,2.4361465525158e-06,-2.7527418440101e-06,5.91540754627309e-06,-2.74447969065774e-08,0,0,1.60186153297461e-07
NA,"p_ICU_2",-3.08342873805165e-08,-5.0359517858935e-07,1.76604284339315e-08,-1.66409956005776e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57715537318467e-06,7.56377773852954e-07,6.36915385531626e-07,-3.42639687630284e-06,-7.41211788976311e-08,-1.37314711462252e-07,-4.09142644655825e-07,1.00512159165625e-07,-9.03949599109197e-07,-1.4408841732632e-06,-2.79770462891832e-07,1.60424148235916e-06,2.13044956922708e-06,-1.09235481397569e-10,-1.74347261714707e-09,6.98567773456772e-09,-6.95709799492805e-11,2.13204736179529e-09,4.72213680948427e-09,6.02391714428451e-10,2.32300962912303e-09,2.91808921570416e-09,-2.0911160729032e-09,8.70994909997919e-06,-2.75398135190046e-06,3.14457745420677e-06,-2.05260982719629e-05,3.89098523467651e-10,0,0,8.19776063038533e-08
NA,"p_ICU_D",-6.99111551331409e-07,2.78166669996018e-07,-5.78199640615062e-07,1.63253319835888e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01277231114781e-06,4.84198184085554e-06,-3.38470908271026e-06,-2.6202746633999e-05,1.53506027081439e-05,1.33530140497802e-05,-4.50388148854228e-06,-6.9671981496785e-07,-3.56146270013731e-06,-1.94891486065128e-05,3.44423842727377e-06,2.13044956922708e-06,0.00021262121607971,2.47495251383245e-08,-2.41357780322311e-08,2.3739381047045e-08,-1.31133894068878e-08,-1.72920740668775e-09,2.81720444370942e-08,3.35367538190543e-08,1.03548437556926e-08,1.69321700577666e-08,-1.10696664357173e-09,-0.000137927121075144,-1.37685943547019e-06,-1.11287442765995e-05,-2.13321438491832e-05,1.18634556139469e-07,0,0,1.48353066258736e-06
NA,"p_NC_15_24",-1.50101877888899e-09,2.84796615744842e-09,-3.10590658492105e-09,4.87691023307449e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.5345382999642e-10,-5.1877100541658e-09,-1.90689404567367e-08,6.56656514035167e-08,-3.17634791905351e-08,1.21653483443822e-08,-1.43214432916047e-08,6.89341653614314e-09,-1.92371685464383e-08,-1.47793079891702e-08,7.38179329654248e-09,-1.09235481397569e-10,2.47495251383245e-08,1.23966851595385e-09,3.33538485952769e-10,3.25670604624173e-10,1.64869163513985e-10,3.79830068291812e-10,1.42305215605323e-10,2.22920758647338e-10,1.34715444963396e-10,1.19797089814264e-10,1.11572721583982e-10,9.5634514741833e-08,1.4130053469615e-08,-3.48728748043262e-08,-2.73475275201696e-08,-1.07117965815947e-10,0,0,7.19133198430003e-09
NA,"p_NC_25_49",3.47730202744393e-09,1.17816732813198e-08,-1.0805201084342e-08,2.58377897529974e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53391059544836e-09,-2.9949356325932e-09,7.93645394500567e-08,-8.25501275240763e-08,-8.24692562301615e-08,-6.66499493305802e-09,-1.25804985607586e-08,2.0938541168964e-08,-3.15372597602583e-08,-1.05060047518504e-09,1.75774772686134e-08,-1.74347261714707e-09,-2.41357780322311e-08,3.33538485952769e-10,2.55977630901489e-09,4.6847562878062e-10,1.41514189673946e-10,7.28578750478852e-10,2.39331437879483e-10,3.42824440049049e-10,2.86437408872518e-10,2.07636938335702e-10,3.20523450440801e-10,1.36780237363139e-07,-1.59767223012397e-07,-7.18712708464539e-08,2.58565537524779e-08,-3.77750879516167e-10,0,0,7.24180951807808e-09
NA,"p_NC_50_64",-9.27563146761456e-09,9.6061506635649e-09,-1.89922884991596e-10,3.15537102943643e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.81941388062653e-09,6.0403121026341e-09,1.7084157560879e-09,1.12661219678154e-07,-6.66875782439211e-08,-2.90290759939787e-09,-1.88707363181992e-08,1.01713123214845e-08,-2.99272133721839e-08,-9.12029889648819e-09,1.26643498728192e-08,6.98567773456772e-09,2.3739381047045e-08,3.25670604624173e-10,4.6847562878062e-10,2.09475449918722e-09,1.55880136799691e-10,5.53049071942313e-10,3.30270404527023e-10,3.35639555519628e-10,2.46800760235376e-10,1.43931290082269e-10,1.97702833159715e-11,1.36288495159434e-07,-5.51230509391601e-08,-5.2650610721362e-08,-3.519627129551e-08,-6.77445885600274e-10,0,0,9.54842837356679e-09
NA,"p_NC_65_79",-9.51835875913593e-10,-3.52777456583838e-09,-1.33606283258019e-09,1.494623346192e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71701648938143e-09,-1.85549755082488e-09,8.6162723754794e-09,4.22695291426971e-08,-6.62060196083912e-09,-9.13994416211255e-09,-6.93115230674357e-09,2.10307146105909e-09,-1.71992724872324e-08,5.05709359402677e-10,1.46149977310351e-09,-6.95709799492805e-11,-1.31133894068878e-08,1.64869163513985e-10,1.41514189673946e-10,1.55880136799691e-10,7.57854968526679e-10,2.57005510176304e-10,1.66720207108006e-10,1.11671236438843e-10,1.23333903221851e-10,6.99923474755781e-11,1.26121609657284e-10,1.33765909783748e-08,-1.77654050411059e-08,-1.98209020697494e-08,-6.18406372729208e-09,-2.54379915175359e-11,0,0,6.57635587738077e-09
NA,"p_NC_80_plus",-5.69195156340409e-10,-4.59953810911696e-08,-1.02900755610174e-08,9.03573944606918e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.82274254115365e-08,-3.4528995222127e-08,-1.58794645212457e-08,1.22584217015155e-07,-7.78882337099651e-08,-1.26081368610886e-07,1.41541535230098e-09,1.17927352114043e-09,-4.64497726499892e-08,2.18081377501114e-08,-2.32136958467259e-09,2.13204736179529e-09,-1.72920740668775e-09,3.79830068291812e-10,7.28578750478852e-10,5.53049071942313e-10,2.57005510176304e-10,3.43284656483447e-09,1.80526503633572e-10,3.68547506020561e-10,1.75829331987625e-10,2.04761058263749e-10,2.21393788709067e-11,1.68673401766359e-07,-2.88876865251089e-08,2.70721682588488e-08,-3.38267771296985e-08,-6.56858185688393e-10,0,0,1.41726371712552e-08
NA,"p_NC_weekend_15_24",-1.71849912454922e-09,-3.7739974236011e-09,-1.9028143569605e-09,1.36406757244583e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12896151704656e-08,-1.08187150212447e-08,-1.60916946913115e-08,1.31498710909269e-07,-6.71449310177791e-09,-2.18570742427923e-08,-8.63836856436546e-09,1.22548959860869e-09,-2.17592418353683e-08,1.46231000970626e-08,8.26867729690972e-09,4.72213680948427e-09,2.81720444370942e-08,1.42305215605323e-10,2.39331437879483e-10,3.30270404527023e-10,1.66720207108006e-10,1.80526503633572e-10,1.15207996858858e-09,2.11471661346798e-10,9.89209115638084e-11,6.3059547475213e-12,7.30535077436495e-11,-1.66072089041542e-08,3.57054923088231e-08,-8.54980856019719e-09,-4.7567791893865e-08,-1.42635263679853e-11,0,0,4.49190641761562e-09
NA,"p_NC_weekend_25_49",-5.06591684983454e-09,1.6335307842205e-08,-2.58781892291734e-09,4.28470889702328e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00944321551304e-09,-1.47668325120025e-08,-6.88150369669443e-09,-2.49427218042949e-08,-5.28670997026631e-08,-2.57177143562839e-08,-1.10294830272831e-08,-3.37228885969382e-09,-2.30711071625491e-08,-1.35768930348502e-08,1.06923941727229e-08,6.02391714428451e-10,3.35367538190543e-08,2.22920758647338e-10,3.42824440049049e-10,3.35639555519628e-10,1.11671236438843e-10,3.68547506020561e-10,2.11471661346798e-10,1.63120536011359e-09,1.95723354886251e-10,1.63697150470384e-10,9.84618359065442e-11,-1.67301362484188e-08,4.64916793097584e-08,-1.59853769300191e-08,-1.78598793686806e-08,-4.75331796124608e-11,0,0,5.96923024785755e-09
NA,"p_NC_weekend_50_64",1.25086724892171e-09,-8.12954940211343e-09,3.74472252375477e-09,1.17928172367096e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05363349379969e-09,-1.70325318614812e-08,-1.64585875267056e-08,7.35215070944034e-08,2.9597530907902e-09,-3.60807636600296e-08,-6.0336907277111e-09,2.17583030374637e-10,-1.19878624945627e-08,3.34412225521096e-09,-2.2250144153771e-09,2.32300962912303e-09,1.03548437556926e-08,1.34715444963396e-10,2.86437408872518e-10,2.46800760235376e-10,1.23333903221851e-10,1.75829331987625e-10,9.89209115638084e-11,1.95723354886251e-10,7.20482577853317e-10,8.06832544176732e-11,8.77307404385092e-11,4.71953178820118e-10,5.56076399934161e-08,-2.31281506427733e-08,-6.75964844163262e-09,-1.7891142402761e-10,0,0,4.21303024110506e-09
NA,"p_NC_weekend_65_79",-8.3508949195247e-10,1.03622225142059e-08,-4.09007304348166e-09,1.46368065738836e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29949057697111e-09,-8.96051312908073e-09,-1.07771944252674e-09,-5.49051014271255e-08,-3.21218616688716e-08,2.02785144606177e-08,1.70351497759161e-09,-8.1007081771041e-10,-1.46782918254887e-08,-6.98506136457516e-09,1.3669935159623e-09,2.91808921570416e-09,1.69321700577666e-08,1.19797089814264e-10,2.07636938335702e-10,1.43931290082269e-10,6.99923474755781e-11,2.04761058263749e-10,6.3059547475213e-12,1.63697150470384e-10,8.06832544176732e-11,4.8635779215952e-10,6.86993162968234e-11,3.73056281956276e-08,3.40649053962677e-08,-9.78524339943611e-10,-2.88033373233159e-08,-1.34817668624965e-10,0,0,1.3793611884997e-09
NA,"p_NC_weekend_80_plus",3.51727934981181e-09,8.23688379427613e-08,-2.53694495192888e-10,6.90669545767677e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56612070873509e-08,1.74223724857805e-08,3.17375917126818e-08,-9.65395456302892e-08,-3.70671107696734e-08,3.73787483651303e-08,-6.26477420489257e-09,1.35530999935628e-08,-9.52016092809383e-09,-1.14305527437052e-08,5.62156389813929e-09,-2.0911160729032e-09,-1.10696664357173e-09,1.11572721583982e-10,3.20523450440801e-10,1.97702833159715e-11,1.26121609657284e-10,2.21393788709067e-11,7.30535077436495e-11,9.84618359065442e-11,8.77307404385092e-11,6.86993162968234e-11,2.1291989905435e-09,9.88428149180084e-08,-6.81087407478935e-08,-3.00530786576862e-08,3.23679866856668e-08,-8.36203695788427e-11,0,0,8.08995667915965e-09
NA,"p_W_D",-2.75037845698588e-07,5.15352237325615e-06,4.9549655054872e-07,2.76709850164285e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59030386417049e-05,1.44718007716832e-06,-2.16928834404269e-05,-7.37065618640849e-05,-2.17865068696781e-05,1.72597409910266e-05,-2.77922277885456e-06,-6.49042572051163e-06,-3.0995805355179e-06,-3.74470059001833e-05,3.04973012380479e-05,8.70994909997919e-06,-0.000137927121075144,9.5634514741833e-08,1.36780237363139e-07,1.36288495159434e-07,1.33765909783748e-08,1.68673401766359e-07,-1.66072089041542e-08,-1.67301362484188e-08,4.71953178820118e-10,3.73056281956276e-08,9.88428149180084e-08,0.00111873748052845,3.80193339948364e-05,-5.26014647864956e-06,-3.88713162561669e-06,-1.9419219000891e-07,0,0,4.1889795921615e-07
NA,"rel_p_D_alpha",2.22262814537183e-06,-5.89571219771808e-05,6.71159289305715e-06,-2.2150856519342e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.42498786903132e-05,-8.38713440731823e-05,-0.000336811038805893,8.10720904199116e-05,0.000156353700623217,-4.10730130903562e-05,2.05105024608061e-05,-6.33341497341039e-05,4.16180077743837e-06,1.70311407953195e-05,2.4361465525158e-06,-2.75398135190046e-06,-1.37685943547019e-06,1.4130053469615e-08,-1.59767223012397e-07,-5.51230509391601e-08,-1.77654050411059e-08,-2.88876865251089e-08,3.57054923088231e-08,4.64916793097584e-08,5.56076399934161e-08,3.40649053962677e-08,-6.81087407478935e-08,3.80193339948364e-05,0.000903214703007758,-4.22370504704264e-05,7.9421657355e-05,-2.31938896373555e-07,0,0,-1.64245308965771e-06
NA,"rel_p_H_alpha",-1.46248060850559e-06,-1.30219064357197e-06,-2.67586109873332e-06,1.04451080159094e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.20034466839027e-06,5.25103404975413e-06,-4.88412070394153e-06,8.27752918390151e-05,-1.0411650540383e-05,-3.86617008336552e-05,-3.26866627867734e-06,-1.47265678993648e-06,-2.64782894284749e-05,6.81997877505149e-06,-2.7527418440101e-06,3.14457745420677e-06,-1.11287442765995e-05,-3.48728748043262e-08,-7.18712708464539e-08,-5.2650610721362e-08,-1.98209020697494e-08,2.70721682588488e-08,-8.54980856019719e-09,-1.59853769300191e-08,-2.31281506427733e-08,-9.78524339943611e-10,-3.00530786576862e-08,-5.26014647864956e-06,-4.22370504704264e-05,0.000192810509066048,-9.80472661119672e-05,7.81743420205901e-08,0,0,-3.30025974047572e-06
