"region","name","alpha_admission","alpha_D","alpha_death_hosp","alpha_H","beta1","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18","beta19","beta2","beta20","beta21","beta22","beta23","beta24","beta25","beta26","beta27","beta28","beta29","beta3","beta30","beta31","beta32","beta33","beta34","beta35","beta36","beta4","beta5","beta6","beta7","beta8","beta9","mu_D","mu_D_2","mu_D_3","mu_D_4","mu_D_5","mu_gamma_H","mu_gamma_H_2","mu_gamma_H_3","mu_gamma_H_4","p_G_D","p_G_D_2","p_H","p_H_2","p_H_D","p_ICU","p_ICU_2","p_ICU_D","p_NC_15_24","p_NC_25_49","p_NC_50_64","p_NC_65_79","p_NC_80_plus","p_NC_weekend_15_24","p_NC_weekend_25_49","p_NC_weekend_50_64","p_NC_weekend_65_79","p_NC_weekend_80_plus","p_W_D","rel_p_D_alpha","rel_p_D_delta","rel_p_D_omicron","rel_p_H_alpha","rel_p_H_delta","rel_p_H_omicron","rel_p_ICU_alpha","rel_p_ICU_delta","rel_p_ICU_omicron","rho_pillar2_tests","seed_date_alpha","seed_date_delta","seed_date_omicron","start_date","ta_alpha","ta_delta","ta_omicron"
NA,"p_H",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1636016627561e-05,1.74710073285882e-05,4.02767250005836e-06,2.66323796391213e-07,0,1.1831920342285e-06,0,0,0,0,0,0,0,0,0,0,6.81425530443897e-06,3.9019902669603e-05,-3.26558123212329e-06,3.9603807886199e-06,-2.70018041523679e-05,-2.05307057686152e-06,-8.69027345961528e-07,3.1445699193284e-06,8.75677107754326e-07,6.738340976133e-08,0,0,0,0,0,9.72306663008939e-07,-2.70234286938379e-06,5.26585286160542e-07
NA,"p_H_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74710073285882e-05,0.00020047642774173,1.97622161180418e-05,4.5346896468751e-06,0,1.79502517890918e-05,0,0,0,0,0,0,0,0,0,0,3.6582535001539e-05,-1.51977779506888e-05,2.03525404161458e-06,-1.26993977607619e-05,-4.36069630115686e-05,-1.70474708771947e-05,-0.000127760975143747,-1.36223389281729e-05,1.96498449563817e-06,-8.63195650755104e-06,0,0,0,0,0,4.08892248127289e-07,-3.04519713361433e-06,-2.17098854904344e-06
NA,"p_H_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02767250005836e-06,1.97622161180418e-05,5.42825448211049e-05,4.98820847873965e-06,0,-4.96024239216328e-06,0,0,0,0,0,0,0,0,0,0,-1.71329642901221e-06,-4.08163593832339e-05,3.18328621922437e-06,-9.46009486792274e-06,5.86630494747537e-06,-1.19131332982057e-05,-6.42520366597434e-06,-3.91930959926689e-07,7.05416071754493e-06,-3.21069507614154e-06,0,0,0,0,0,2.58470179387278e-06,-3.64505859017456e-06,-1.92609689713088e-06
NA,"p_ICU",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.66323796391213e-07,4.5346896468751e-06,4.98820847873965e-06,6.77652738922935e-06,0,4.0166979525875e-06,0,0,0,0,0,0,0,0,0,0,-2.46634895588105e-06,-1.3148771404326e-05,3.31562767725748e-07,-6.0870210278518e-06,-7.51227886087565e-06,2.64622210943247e-06,-9.98972629598802e-07,5.81627652522956e-06,-2.03231495673798e-06,1.93123168074111e-07,0,0,0,0,0,1.42785538078634e-06,-4.0455811572635e-07,7.70277346799905e-08
NA,"p_ICU_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1831920342285e-06,1.79502517890918e-05,-4.96024239216328e-06,4.0166979525875e-06,0,0.000181348395829152,0,0,0,0,0,0,0,0,0,0,-7.15227137432816e-05,0.000104131935685082,-4.16935612470411e-05,-9.09371201967516e-06,-2.34888244563039e-05,6.27940701240901e-06,-1.20285596561123e-05,2.6864560591895e-05,-5.91397761135298e-06,8.85869439241268e-07,0,0,0,0,0,5.14455565572656e-06,5.88686475401044e-07,-1.83067011903855e-06
NA,"p_W_D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81425530443897e-06,3.6582535001539e-05,-1.71329642901221e-06,-2.46634895588105e-06,0,-7.15227137432816e-05,0,0,0,0,0,0,0,0,0,0,0.000331133292125566,7.90997849484752e-05,-8.93185108202516e-06,4.48095626219033e-05,-1.17484528963194e-05,5.82557740365715e-06,-3.18490699956057e-05,6.09390495194683e-06,-9.76279642110246e-06,1.53676744183035e-06,0,0,0,0,0,-3.3152414626496e-06,-4.50641769426678e-06,3.75903810350083e-06
NA,"rel_p_D_alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9019902669603e-05,-1.51977779506888e-05,-4.08163593832339e-05,-1.3148771404326e-05,0,0.000104131935685082,0,0,0,0,0,0,0,0,0,0,7.90997849484752e-05,0.00159217310960567,-0.000328240584968369,0.000152896136695781,-0.000131975794609062,6.81669337860973e-05,-2.18969163886008e-05,0.000103966083747406,-7.41564206157629e-06,-7.12402516194167e-06,0,0,0,0,0,-6.41039458828609e-06,-2.1111662941725e-05,3.18031880992088e-05
NA,"rel_p_D_delta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.26558123212329e-06,2.03525404161458e-06,3.18328621922437e-06,3.31562767725748e-07,0,-4.16935612470411e-05,0,0,0,0,0,0,0,0,0,0,-8.93185108202516e-06,-0.000328240584968369,0.0001247661064253,-5.13166179672213e-05,4.34475915379375e-05,-3.63208940592342e-05,9.62513695934141e-06,-2.73852036191405e-05,1.71344017284407e-05,1.66261966039842e-06,0,0,0,0,0,5.57332218062644e-07,1.51902665590577e-06,-2.93659594574712e-06
NA,"rel_p_D_omicron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9603807886199e-06,-1.26993977607619e-05,-9.46009486792274e-06,-6.0870210278518e-06,0,-9.09371201967516e-06,0,0,0,0,0,0,0,0,0,0,4.48095626219033e-05,0.000152896136695781,-5.13166179672213e-05,0.000145666094649945,3.10525108039673e-05,-1.5688028953125e-05,-2.24662271961836e-05,-9.44871031347622e-06,7.10181782075083e-06,5.48524531405849e-07,0,0,0,0,0,-5.25722592579865e-06,-2.26937963725249e-06,-2.04143684265396e-06
NA,"rel_p_H_alpha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.70018041523679e-05,-4.36069630115686e-05,5.86630494747537e-06,-7.51227886087565e-06,0,-2.34888244563039e-05,0,0,0,0,0,0,0,0,0,0,-1.17484528963194e-05,-0.000131975794609062,4.34475915379375e-05,3.10525108039673e-05,0.000271852987166693,-0.000133100751926914,-3.02563716011848e-05,-6.9546220434828e-05,7.04581568164773e-05,-4.1391872333532e-06,0,0,0,0,0,-8.15455664146118e-06,3.2126234697435e-06,-4.30167651841428e-06
